image_id,method,psnr,ssim,rmse,mae,bias,r2,pearson,psnr_norm,ssim_norm,rmse_norm,mae_norm,bias_norm,r2_norm,pearson_norm
ntl_chip_Arambagh_1618,learned,28.21186828613281,0.8129453063011169,0.038851261138916,0.0257114060223102,-0.0012447749031707,0.8569372296333313,0.92589271068573,0.1401387595624381,0.6557129816954625,0.6215794963639143,0.677632095187527,0.7143071161329024,0.9999999999867599,0.9301726027769667
ntl_chip_Astrakhan_239,learned,35.421173095703125,0.9568182229995728,0.0169407967478036,0.009314420633018,-0.0002325532695977,0.9835649728775024,0.991806983947754,0.2598380337223847,0.9205370896180665,0.8349981125255271,0.8832164113700116,0.946625840483403,0.9999999999984789,0.9963915614237853
ntl_chip_Awan Patti_100,learned,35.34222412109375,0.9049798846244812,0.0170954838395118,0.012332278303802,-0.0013180968817323,0.9557957649230956,0.9778558611869812,0.2585272090026601,0.8251192581637532,0.8334913847601486,0.8453787118871937,0.697478718120742,0.9999999999959089,0.9823759503056914
ntl_chip_Baixo_Guandu_905,learned,35.75592422485352,0.9146926403045654,0.0163003038614988,0.0099713765084743,0.0002291504060849,0.9409914016723632,0.970204770565033,0.26539605467474237,0.8429973405539194,0.8412368258187047,0.8749795421400159,0.9474068442519571,0.9999999999945388,0.9746894929054282
ntl_chip_Bamukumbit_1039,learned,26.59644317626953,0.7449184060096741,0.0467925630509853,0.0320940539240837,-0.0002283590147271,0.7750648856163025,0.8806551098823547,0.11331714246924833,0.5304971759842363,0.5442273401365514,0.5976068787732605,0.9475884794043863,0.9999999999791828,0.8847258934584574
ntl_chip_Bareilly_1663,learned,32.73268127441406,0.8635799884796143,0.0230867061764001,0.0163566395640373,-0.0012772554764524,0.954565405845642,0.9771189093589784,0.21519981573969488,0.7489152663615177,0.775133955294897,0.7949215371008429,0.706852379837313,0.9999999999957951,0.9816355919552439
ntl_chip_Barletta_1738,learned,33.79684829711914,0.9542276859283448,0.0204245503991842,0.0106977019459009,-0.0002180939045501,0.980147123336792,0.9900745749473572,0.23286865116383354,0.9157687379041283,0.8010646517802953,0.8658729219391585,0.9499444627409803,0.9999999999981626,0.9946511444506568
ntl_chip_Barstow_530,learned,35.53856658935547,0.957275688648224,0.0167133603245019,0.0077238311059772,0.0001513604074716,0.9585834741592408,0.9792107939720154,0.26178716978369143,0.921379137830401,0.8372134542845765,0.903159117451658,0.9652607140425851,0.9999999999961671,0.9837371461987983
ntl_chip_Bedourie_725,learned,27.8669548034668,0.687849760055542,0.0404250882565975,0.0313794091343879,-0.0022964621894061,0.5385963916778564,0.7350876331329346,0.13441200856304994,0.42545201806316835,0.6062496521608197,0.6065670477869458,0.47293048412849714,0.9999999999572984,0.7384855384313589
ntl_chip_Belazao_1863,learned,33.30400085449219,0.811252236366272,0.0216169916093349,0.0159439519047737,0.0001259594719158,0.86370450258255,0.9294429421424866,0.2246856872425802,0.6525965804614093,0.7894496924448067,0.8000957876238728,0.9710905765449331,0.9999999999873862,0.9337392449985543
ntl_chip_Beloozerskiy_192,learned,26.19220352172852,0.8374316692352295,0.0490217693150043,0.0337402820587158,-0.0016261471901088,0.8943579792976379,0.9458417296409608,0.10660537281692445,0.700784558536339,0.5225137832025999,0.5769665795168057,0.6267769544909829,0.999999999990223,0.9502138350604471
ntl_chip_Bidur_1988,learned,29.68240737915039,0.8187314867973328,0.0328002870082855,0.0233236588537693,-0.0009600791963748,0.9480098485946656,0.9737331867218018,0.1645547700804511,0.6663634927391855,0.6805189374609597,0.7075695109506531,0.7796486789262427,0.9999999999951884,0.9782342189869103
ntl_chip_Bilenke_394,learned,26.546646118164062,0.7215939164161682,0.0470616109669208,0.0369297824800014,-0.0043570385314524,0.6126701831817627,0.78485506772995,0.11249033990395625,0.487564237033006,0.5416066821315384,0.5369768346029663,0.0,0.9999999999641537,0.7884830204704534
ntl_chip_Borgampad_1500,learned,32.35309219360352,0.8453227877616882,0.0241180229932069,0.0164786614477634,-0.0002789838472381,0.9238951802253724,0.9612537026405334,0.2088973304582089,0.7153095884880214,0.7650884261843234,0.793391634809077,0.9359693871825591,0.9999999999929566,0.9656970491234713
ntl_chip_Brejo_da_Madre_de_Deus_943,learned,36.18808364868164,0.9393522143363952,0.0155091034248471,0.009479203261435,-9.927409701049328e-05,0.9673131704330444,0.9835696816444396,0.2725713885966673,0.8883877437277005,0.8489435042022613,0.8811503776950664,0.9772152354646723,0.999999999996975,0.9881161826083932
ntl_chip_Bubanza_779,learned,34.99365997314453,0.8658334612846375,0.0177955031394958,0.0129007939249277,-0.000286592694465,0.9538029432296752,0.976736068725586,0.25273984439403446,0.7530631903698208,0.8266728551469831,0.8382507007050581,0.9342230525628458,0.9999999999957245,0.9812509816604424
ntl_chip_Bucak_365,learned,33.84380340576172,0.9431129693984984,0.020314423367381,0.0115254148840904,-0.0003986644733231,0.9502255320549012,0.974993109703064,0.23364826758609342,0.895310093168383,0.8021373428154958,0.8554951119726871,0.908501044816281,0.9999999999953936,0.9794999658982466
