image_id,psnr_delta,psnr_improved,ssim_delta,ssim_improved,rmse_delta,rmse_improved,mae_delta,mae_improved,bias_delta,bias_improved,r2_delta,r2_improved,pearson_delta,pearson_improved
ntl_chip_Cantonment_108,2.235107421875,1,0.04639822244644165,1,0.005279622972011601,1,0.0037433449178935,1,-0.002636469456774599,0,0.006357669830322488,1,0.0032558441162108265,1
ntl_chip_Carlos_Casares_697,2.3665122985839844,1,0.017242848873138428,1,0.0036589382216333996,1,0.0010062642395495995,1,-0.0005046714177296804,0,0.03888195753097545,1,0.018357634544372448,1
ntl_chip_Chencha_1340,0.950469970703125,1,0.1103360652923584,1,0.005068782716989496,1,0.004100341349840199,1,-0.0008117478573693922,0,0.06350564956665039,1,0.03413659334182739,1
ntl_chip_Chengam_1585,1.0392169952392507,1,0.087912917137146,1,0.004615548998117398,1,0.0031446926295757988,1,-0.000979232019744717,0,0.03300774097442627,1,0.017064988613128773,1
ntl_chip_Cherutana_Tekku_1508,1.664432525634762,1,0.05305194854736328,1,0.004801120609045098,1,0.003058027476072301,1,-0.0014657065112259338,0,0.01133584976196278,1,0.005677282810211071,1
ntl_chip_Ciudad_del_Plata_608,2.5861282348632812,1,0.039164841175079235,1,0.0077666733413934985,1,0.0036443928256630984,1,-0.0005639593218802189,0,0.010267078876495361,1,0.005090117454528809,1
ntl_chip_Cloppenburg_1251,2.6049079895019496,1,0.05607801675796509,1,0.008592378348112203,1,0.003942354582250099,1,-0.0001992437173612103,0,0.06793260574340809,1,0.03210252523422241,1
ntl_chip_Covington_418,2.907255172729492,1,0.04063999652862538,1,0.0071766823530197005,1,0.003293004818260701,1,-0.0003581077507987697,0,0.0341026186943052,1,0.016238152980804443,1
ntl_chip_Cuapiaxtla_de_Madero_1935,2.548711776733395,1,0.07285892963409413,1,0.012213509529828998,1,0.007272236049175301,1,-0.0010089426505145817,0,0.04557847976684559,1,0.021050870418548584,1
ntl_chip_Cunupia_380,2.781570434570309,1,0.05070334672927845,1,0.0096650812774896,1,0.005809178575873302,1,-0.000995732887531566,0,0.01322370767593406,1,0.006477415561676025,1
ntl_chip_Currumbin_726,2.6005706787109375,1,0.029371857643127552,1,0.007135549560189299,1,0.0030390769243241,1,-0.0002566170951467563,0,0.01526510715484597,1,0.007564067840576061,1
ntl_chip_Cuttack_1651,1.7955322265625,1,0.0622251033782959,1,0.0055438689887524,1,0.003400286659598302,1,-0.0009376223824801122,0,0.015062332153320424,1,0.00750279426574707,1
ntl_chip_Dabou_1027,1.1232452392578125,1,0.05143141746520996,1,0.0035909805446863,1,0.0019306354224681993,1,-0.00017344286607108285,0,0.01875913143157959,1,0.009369432926177867,1
